STOPS,STOP NUMBER
Mysore Road Satellite Bus Station,1
Iyyannashetty,2
Deepanjalinagara,3
B.C.C.Layout Cross,4
Attiguppe,5
Income Tax Layout Cross,6
Vijayanagara T.T.M.C.,7
Maruti Mandir Vijayanagara,8
Vijayanagara Metro Station,9
Vijaya Bank Vijayanagara,10
MC Layout,11
Agrahara Dasarahalli,12
Thimmenahalli,13
K.H.B. Colony / Unani Hospital,14
Havanur Circle,15
Pavithra Paradise,16
8th Main Kamalanagara,17
Water Tank Kamalanagara,18
Shankara Mutt Circle,19
Shankara Mutt,20
Modi Hospital,21
Navarang Theatre / Rajajinagar Metro Station,22
1st Block Rajajinagara,23
Mahalakshmi Layout Metro Station,24
Iskcon Temple,25
Government Soap Factory,26
Yeshwanthpura T.T.M.C.,27
Tata Institute (I.I.S.C.),28
Sadashivanagara Police Station,29
C.P.R.I.Quarters,30
M.S.Ramaiah Hospital,31
Ashwathnagara,32
Geddalahalli,33
Sanjayanagara,34
R.M.S.Sanjayanagara,35
Nagashettyhalli,36
Bhoopasandra Ayyappa Bakery,37
R.M.V.2nd Stage,38
Hebbala (Towards 279e),39
Hebbala,40
Canara Bank Hebbala,41
Veterinary Hospital,42
C.B.I.,43
Vasanthappa Block,44
R.T.Nagara,45
R.T.Nagara Police Station,46
H.M.T.Layout (R.T.Nagara),47
Dinnur Main Road,48
Pushpanjali Talkies,49
P&T Quarters,50
Manjushree Hospital,51
Kaval Byrasandra,52
